Country,Smokers_Indicator,Smokers_Subject,Smokers_Measure,Smokers_Frequency,TIME,Smokers_Value,Smokers_Flag_Codes,Alcohol_Indicator,Alcohol_Subject,Alcohol_Measure,Alcohol_Frequency,Alcohol_Value,Alcohol_Flag_Codes,Population_Indicator,Population_Subject,Population_Measure,Population_Frequency,Population_Value,Population_Flag_Codes
AUS,SMOKERS,TOT,PC_POP15,A,1964,43.0,,ALCOHOL,TOT,LT_CAP15,A,10.1,,POP,TOT,MLN_PER,A,11.1216,
AUS,SMOKERS,TOT,PC_POP15,A,1966,40.0,,ALCOHOL,TOT,LT_CAP15,A,10.3,,POP,TOT,MLN_PER,A,11.599498,
AUS,SMOKERS,TOT,PC_POP15,A,1969,37.0,,ALCOHOL,TOT,LT_CAP15,A,11.6,,POP,TOT,MLN_PER,A,12.263014,
AUS,SMOKERS,TOT,PC_POP15,A,1974,37.8,,ALCOHOL,TOT,LT_CAP15,A,13.1,,POP,TOT,MLN_PER,A,13.722571,
AUS,SMOKERS,TOT,PC_POP15,A,1976,38.4,,ALCOHOL,TOT,LT_CAP15,A,13.1,,POP,TOT,MLN_PER,A,14.033083,
AUS,SMOKERS,TOT,PC_POP15,A,1980,36.0,,ALCOHOL,TOT,LT_CAP15,A,12.7,,POP,TOT,MLN_PER,A,14.695356,
AUS,SMOKERS,TOT,PC_POP15,A,1983,35.4,,ALCOHOL,TOT,LT_CAP15,A,12.2,,POP,TOT,MLN_PER,A,15.393472,
AUS,SMOKERS,TOT,PC_POP15,A,1986,30.6,,ALCOHOL,TOT,LT_CAP15,A,11.3,,POP,TOT,MLN_PER,A,16.01835,
AUS,SMOKERS,TOT,PC_POP15,A,1989,28.6,,ALCOHOL,TOT,LT_CAP15,A,11.0,,POP,TOT,MLN_PER,A,16.814416,
AUS,SMOKERS,TOT,PC_POP15,A,1992,26.0,,ALCOHOL,TOT,LT_CAP15,A,9.9,,POP,TOT,MLN_PER,A,17.478635,
AUS,SMOKERS,TOT,PC_POP15,A,1995,24.1,,ALCOHOL,TOT,LT_CAP15,A,9.8,,POP,TOT,MLN_PER,A,18.004882,
AUS,SMOKERS,TOT,PC_POP15,A,1998,22.1,,ALCOHOL,TOT,LT_CAP15,A,10.0,,POP,TOT,MLN_PER,A,18.607584,
AUS,SMOKERS,TOT,PC_POP15,A,2001,19.6,,ALCOHOL,TOT,LT_CAP15,A,10.0,,POP,TOT,MLN_PER,A,19.274701,
AUS,SMOKERS,TOT,PC_POP15,A,2004,17.8,,ALCOHOL,TOT,LT_CAP15,A,10.5,B,POP,TOT,MLN_PER,A,19.932722,
AUS,SMOKERS,TOT,PC_POP15,A,2007,16.9,,ALCOHOL,TOT,LT_CAP15,A,10.8,,POP,TOT,MLN_PER,A,20.827622,
AUS,SMOKERS,TOT,PC_POP15,A,2010,15.3,,ALCOHOL,TOT,LT_CAP15,A,10.4,,POP,TOT,MLN_PER,A,22.03175,
AUS,SMOKERS,TOT,PC_POP15,A,2013,13.0,,ALCOHOL,TOT,LT_CAP15,A,9.9,,POP,TOT,MLN_PER,A,23.128129,
AUS,SMOKERS,TOT,PC_POP15,A,2016,12.4,,ALCOHOL,TOT,LT_CAP15,A,9.5,,POP,TOT,MLN_PER,A,24.190907,
AUT,SMOKERS,TOT,PC_POP15,A,1972,22.9,,ALCOHOL,TOT,LT_CAP15,A,14.4,,POP,TOT,MLN_PER,A,7.544201,
AUT,SMOKERS,TOT,PC_POP15,A,1979,23.5,,ALCOHOL,TOT,LT_CAP15,A,13.6,,POP,TOT,MLN_PER,A,7.549425,
AUT,SMOKERS,TOT,PC_POP15,A,1986,25.5,,ALCOHOL,TOT,LT_CAP15,A,13.6,,POP,TOT,MLN_PER,A,7.569794,
AUT,SMOKERS,TOT,PC_POP15,A,1997,24.3,,ALCOHOL,TOT,LT_CAP15,A,12.9,,POP,TOT,MLN_PER,A,7.968041,
AUT,SMOKERS,TOT,PC_POP15,A,2006,23.2,,ALCOHOL,TOT,LT_CAP15,A,12.5,,POP,TOT,MLN_PER,A,8.267948,
AUT,SMOKERS,TOT,PC_POP15,A,2014,24.3,,ALCOHOL,TOT,LT_CAP15,A,12.2,,POP,TOT,MLN_PER,A,8.543932,
AUT,SMOKERS,TOT,PC_POP15,A,2019,20.6,,ALCOHOL,TOT,LT_CAP15,A,11.6,,POP,TOT,MLN_PER,A,8.877637,
BEL,SMOKERS,TOT,PC_POP15,A,1997,25.5,,ALCOHOL,TOT,LT_CAP15,A,10.9,,POP,TOT,MLN_PER,A,10.181246,
BEL,SMOKERS,TOT,PC_POP15,A,2001,24.1,,ALCOHOL,TOT,LT_CAP15,A,11.0,,POP,TOT,MLN_PER,A,10.286571,
BEL,SMOKERS,TOT,PC_POP15,A,2004,23.7,,ALCOHOL,TOT,LT_CAP15,A,12.1,,POP,TOT,MLN_PER,A,10.421136,
BEL,SMOKERS,TOT,PC_POP15,A,2008,20.5,,ALCOHOL,TOT,LT_CAP15,A,10.5,,POP,TOT,MLN_PER,A,10.709108,
BEL,SMOKERS,TOT,PC_POP15,A,2013,18.9,,ALCOHOL,TOT,LT_CAP15,A,10.3,,POP,TOT,MLN_PER,A,11.125033,
BEL,SMOKERS,TOT,PC_POP15,A,2018,15.4,,ALCOHOL,TOT,LT_CAP15,A,9.2,,POP,TOT,MLN_PER,A,11.40374,
CAN,SMOKERS,TOT,PC_POP15,A,1964,42.0,,ALCOHOL,TOT,LT_CAP15,A,7.6,,POP,TOT,MLN_PER,A,19.719595,
CAN,SMOKERS,TOT,PC_POP15,A,1965,42.5,,ALCOHOL,TOT,LT_CAP15,A,7.8,,POP,TOT,MLN_PER,A,20.084314,
CAN,SMOKERS,TOT,PC_POP15,A,1966,42.5,,ALCOHOL,TOT,LT_CAP15,A,8.1,,POP,TOT,MLN_PER,A,20.420867,
CAN,SMOKERS,TOT,PC_POP15,A,1967,42.0,,ALCOHOL,TOT,LT_CAP15,A,8.3,,POP,TOT,MLN_PER,A,20.795138,
CAN,SMOKERS,TOT,PC_POP15,A,1968,41.0,,ALCOHOL,TOT,LT_CAP15,A,8.3,,POP,TOT,MLN_PER,A,21.129417,
CAN,SMOKERS,TOT,PC_POP15,A,1969,40.0,,ALCOHOL,TOT,LT_CAP15,A,8.5,,POP,TOT,MLN_PER,A,21.43983,
CAN,SMOKERS,TOT,PC_POP15,A,1970,39.5,,ALCOHOL,TOT,LT_CAP15,A,8.8,,POP,TOT,MLN_PER,A,21.746497,
CAN,SMOKERS,TOT,PC_POP15,A,1971,39.5,,ALCOHOL,TOT,LT_CAP15,A,9.4,,POP,TOT,MLN_PER,A,21.962032,
CAN,SMOKERS,TOT,PC_POP15,A,1972,39.0,,ALCOHOL,TOT,LT_CAP15,A,9.9,,POP,TOT,MLN_PER,A,22.218463,
CAN,SMOKERS,TOT,PC_POP15,A,1979,34.4,,ALCOHOL,TOT,LT_CAP15,A,10.9,,POP,TOT,MLN_PER,A,24.201544,
CAN,SMOKERS,TOT,PC_POP15,A,1981,32.8,,ALCOHOL,TOT,LT_CAP15,A,10.8,,POP,TOT,MLN_PER,A,24.819915,
CAN,SMOKERS,TOT,PC_POP15,A,1983,31.2,,ALCOHOL,TOT,LT_CAP15,A,10.2,,POP,TOT,MLN_PER,A,25.366451,
CAN,SMOKERS,TOT,PC_POP15,A,1985,30.4,,ALCOHOL,TOT,LT_CAP15,A,9.8,,POP,TOT,MLN_PER,A,25.842116,
CAN,SMOKERS,TOT,PC_POP15,A,1986,28.3,,ALCOHOL,TOT,LT_CAP15,A,9.6,,POP,TOT,MLN_PER,A,26.100278,
CAN,SMOKERS,TOT,PC_POP15,A,1988,30.8,,ALCOHOL,TOT,LT_CAP15,A,9.4,,POP,TOT,MLN_PER,A,26.791747,
CAN,SMOKERS,TOT,PC_POP15,A,1989,31.0,,ALCOHOL,TOT,LT_CAP15,A,8.8,B,POP,TOT,MLN_PER,A,27.276781,
